z	zmin	zmax	tlook	tlookmin	tlookmax	dl		z	tlook	a	delta-tlook		a1	a2	t1	t2	t-interp	Chi^2
0.83	0.7519	0.8764	6.8068	6.4875	7.0975	1.6939		0.83	-6.8068	0.546448087	0.305		0.54	0.55	-6.782757978	-6.628685184	-6.683410493	0.163665363
0.43	0.4157	0.5133	4.6991	4.3223	5.0431	0.8529		0.43	-4.6991	0.699300699	0.3604		0.69	0.7	-4.470751186	-4.318119572	-4.328793112	1.055732806
0.74	0.5928	0.7579	6.0761	5.5705	6.5189	1.3455		0.74	-6.0761	0.574712644	0.4742		0.57	0.58	-6.319985657	-6.16545472	-6.247160733	0.130130038
0.46	0.3107	0.4382	4.0086	3.4412	4.4965	0.662		0.46	-4.0086	0.684931507	0.52765		0.68	0.69	-4.623732039	-4.470751186	-4.548289427	1.046154757
0.63	0.5538	0.7504	5.9455	5.3181	6.4796	1.2909		0.63	-5.9455	0.613496933	0.58075		0.61	0.62	-5.701682548	-5.547175172	-5.647652361	0.263032787
0.828	0.5508	0.917	6.424	5.2982	7.2785	1.5027		0.828	-6.424	0.547045952	0.99015		0.54	0.55	-6.782757978	-6.628685184	-6.674199029	0.063851228
0.01	0.006	0.0105	0.1014	0.0812	0.1416	0.0126		0.01	-0.1014	0.99009901	0.0302		0.99	1	-0.134070295	0	-0.132742866	1.07711861
0.017	0.012	0.015	0.1817	0.1617	0.2017	0.0197		0.017	-0.1817	0.983284169	0.02		0.98	0.99	-0.26887728	-0.134070295	-0.224604386	4.601965894
0.017	0.0135	0.018	0.2017	0.1817	0.2416	0.0225		0.017	-0.2017	0.983284169	0.02995		0.98	0.99	-0.26887728	-0.134070295	-0.224604386	0.584848881
0.017	0.0135	0.018	0.2217	0.1817	0.2416	0.0241		0.017	-0.2217	0.983284169	0.02995		0.98	0.99	-0.26887728	-0.134070295	-0.224604386	0.009404053
0.023	0.021	0.0255	0.301	0.2812	0.3404	0.0338		0.023	-0.301	0.977517107	0.0296		0.97	0.98	-0.404419252	-0.26887728	-0.302530908	0.002674943
0.032	0.0285	0.036	0.4383	0.3797	0.4771	0.0473		0.032	-0.4383	0.968992248	0.0487		0.96	0.97	-0.540694018	-0.404419252	-0.418152368	0.171155204
0.053	0.0435	0.0525	0.6309	0.5735	0.6879	0.0706		0.053	-0.6309	0.949667616	0.0572		0.94	0.95	-0.815430574	-0.677698874	-0.682276851	0.806757297
0.459	0.4757	0.5703	5.1157	4.7761	5.4264	0.9837		0.459	-5.1157	0.68540096	0.32515		0.68	0.69	-4.623732039	-4.470751186	-4.541107699	3.122856933
0.511	0.5073	0.6033	5.338	5.0012	5.6365	1.059		0.511	-5.338	0.661813369	0.31765		0.66	0.67	-4.930620301	-4.777032194	-4.902769115	1.877334637
0.474	0.5013	0.6018	5.3082	4.959	5.6271	1.0492		0.474	-5.3082	0.678426052	0.33405		0.67	0.68	-4.777032194	-4.623732039	-4.647860693	3.907611209
0.537	0.4637	0.6528	5.3676	4.688	5.9367	1.0688		0.537	-5.3676	0.650618087	0.62435		0.65	0.66	-5.084463588	-4.930620301	-5.074954732	0.219698342
0.477	0.4277	0.5088	4.7212	4.4158	5.0117	0.8608		0.477	-4.7212	0.67704807	0.29795		0.67	0.68	-4.777032194	-4.623732039	-4.668985165	0.0307115
